BookingID,BookingID_Date,vehicle_no,Origin_Location,Destination_Location,Org_lat_lon,Org_lat,Org_lon,Des_lat_lon,Des_lat,Des_lat,Planned_ETA,actual_eta,SLA,SLA_binary,Curr_lat,Curr_lon,OriginLocation_Code,DestinationLocation_Code,trip_start_date,trip_end_date,TRANSPORTATION_DISTANCE_IN_KM,customerID,customerNameCode,supplierID,supplierNameCode,Material Shipped
VCV00014017/082021,27-08-2020,TN85B1588,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 17:37,28-08-2020 09:50,Fulfill,1,12.836263,79.95028583,CHEORADMRCCB1,CHEMTADMROPA1,27-08-2020 13:37,28-08-2020 09:35,20,DMREXCHEUX,Daimler india commercial vehicles pvt lt,SUSEXMADL5,SUSEE TRANSPORTER,WASHER-3MM-CAB MTG-2214
AEIBK2027791,27-08-2020,PB13BB1658,"Kalri, Mahesana, Gujarat","Singaperumalkoil, Kanchipuram, Tamil Nadu","23.5159,72.077925",23.5159,72.077925,"12.786517,79.975221",12.78651700,79.97522100,31-08-2020 20:15,28-08-2020 10:35,Fulfill,1,13.1995125,80.13659,HALHANTVSHUA2,CHEORAUTWCCD5,27-08-2020 17:00,28-08-2020 09:05,1900,FILEXCHE19,Ford india private limited,78869,EFC INFRASTRUCTURES PRIVATE LIMITED,SET SCREW M8X1.25X35
AEIBK2027402,25-08-2020,TN14T6171,"Shive, Pune, Maharashtra","Pondur, Kanchipuram, Tamil Nadu","18.750621,73.87719",18.750621,73.87719,"12.930429,79.931163",12.93042900,79.93116300,30-08-2020 00:02,28-08-2020 08:00,Fulfill,1,12.83675,79.950627,PUNTATTVSHUA1,CHEORADMRCCB1,26-08-2020 09:21,28-08-2020 07:40,1290,DMREXCHEUX,Daimler india commercial vehicles pvt lt,67829,KRC Logistics,SET SCREW M12X1.75X35
VCV00014735/082021,27-08-2020,TN88D4133,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,01-09-2020 03:39,28-08-2020 06:34,Fulfill,1,12.83605333,79.95045167,CHEORADMRCCB1,CHEMTADMROPA1,27-08-2020 23:39,28-08-2020 06:25,20,DMREXCHEUX,Daimler india commercial vehicles pvt lt,NSAEXNAMDZ,NAMAKKAL SRI ANJINAYA TRANSPORT,"PLAIN NUT,M8X1.25"
VCV00014755/082021,28-08-2020,TN13Q4639,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","11.8720,79.6320",11.872,79.632,"13.1020,80.1940",13.10200000,80.19400000,01-09-2020 07:58,28-08-2020 06:17,Fulfill,1,13.10461283,80.18978117,CHENETLUTCCA1,CHEPADLUTCCA1,28-08-2020 03:50,28-08-2020 06:10,175,LUTGCCHE06,Lucas tvs ltd,SRTEXKOR96,SR TRANSPORTS,M16 NYLOC NUT
VCV00014647/082021,27-08-2020,TN18AB5514,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","13.1020,80.1940",13.102,80.194,"11.8720,79.6320",11.87200000,79.63200000,01-09-2020 01:55,28-08-2020 03:32,Fulfill,1,11.87064778,79.63423111,CHEPADLUTCCA1,CHENETLUTCCA1,27-08-2020 21:54,28-08-2020 03:25,170,LUTGCCHE06,Lucas tvs ltd,SRTEXKOR96,SR TRANSPORTS,"SPRING WASHER,M6"
VCV00013531/082021,26-08-2020,TN12AC0599,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,30-08-2020 22:36,28-08-2020 03:52,Fulfill,1,12.80320333,80.09855667,CHEORADMRCCB1,CHEMATDMROPA7,26-08-2020 18:35,26-08-2020 18:36,69,DMREXCHEUX,Daimler india commercial vehicles pvt lt,SUSEXMADL5,SUSEE TRANSPORTER,WASHER
VCV00012819/082021,25-08-2020,TN88C8204,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,30-08-2020 03:33,28-08-2020 02:27,Fulfill,1,12.89673222,79.93177778,CHEORADMRCCB1,CHEMATDMROPA7,25-08-2020 23:32,25-08-2020 23:33,931,DMREXCHEUX,Daimler india commercial vehicles pvt lt,ESWEXNAM02,ESWAR TRANSPORT,AUTO PARTS
VCV00013919/082021,27-08-2020,TN88A4980,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 15:51,28-08-2020 02:04,Fulfill,1,12.834873,79.9507905,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 11:50,27-08-2020 11:51,70,DMREXCHEUX,Daimler india commercial vehicles pvt lt,ESWEXNAM02,ESWAR TRANSPORT,Empty trays
VCV00014549/082021,27-08-2020,TN88D3900,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,01-09-2020 00:20,28-08-2020 01:34,Fulfill,1,12.835076,79.95050783,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 20:19,27-08-2020 20:20,3,DMREXCHEUX,Daimler india commercial vehicles pvt lt,NSAEXNAMDZ,NAMAKKAL SRI ANJINAYA TRANSPORT,solenoid fixing screw
AEIBK2027394,25-08-2020,TN14T4200,"Jagadambigainagar, Tiruvallur, Tamil Nadu","Shive, Pune, Maharashtra","13.087428,80.184717",13.087428,80.184717,"18.750621,73.87719",18.75062100,73.87719000,29-08-2020 22:52,28-08-2020 01:31,Fulfill,1,18.817445,73.871532,CHEPADBILCCA4,PUNBUDBILCCA3,27-08-2020 09:44,28-08-2020 01:10,1199,BILGCCHE02,Brakes india private ltd,67829,KRC Logistics,RECTIFIER ASSEMBLY(12V-45A)
VCV00013912/082021,27-08-2020,TN28AQ0781,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 15:48,28-08-2020 00:34,Fulfill,1,12.83425111,79.95134222,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 11:46,27-08-2020 11:48,61,DMREXCHEUX,Daimler india commercial vehicles pvt lt,ARVEXNAM09,ARVINTH TRANSPORT,MOTOR ASSEMBLY - 26071474
VCV00014739/082021,28-08-2020,TN88D4134,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,01-09-2020 04:21,28-08-2020 00:39,Fulfill,1,12.87219,79.93747,CHEORADMRCCB1,CHEMTADMROPA1,28-08-2020 00:21,28-08-2020 00:21,20,DMREXCHEUX,Daimler india commercial vehicles pvt lt,NSAEXNAMDZ,NAMAKKAL SRI ANJINAYA TRANSPORT,SWITCH ASSY 7M14
VCV00013896/082021,27-08-2020,TN88D4133,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 15:36,27-08-2020 23:34,Fulfill,1,12.83835,79.94770667,CHEORADMRCCB1,CHEMTADMROPA1,27-08-2020 11:35,27-08-2020 11:36,20,DMREXCHEUX,Daimler india commercial vehicles pvt lt,NSAEXNAMDZ,NAMAKKAL SRI ANJINAYA TRANSPORT,SOLENOID ASSY-SM76 BARE
VCV00014144/082021,27-08-2020,TN88D3900,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 19:18,27-08-2020 20:33,Fulfill,1,12.83542333,79.95254083,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 15:17,27-08-2020 15:18,3,DMREXCHEUX,Daimler india commercial vehicles pvt lt,NSAEXNAMDZ,NAMAKKAL SRI ANJINAYA TRANSPORT,F4D01700
AEIBK2026858,21-08-2020,PB13BD7519,"Khorajnanoda, Ahmedabad, Gujarat","Singaperumalkoil, Kanchipuram, Tamil Nadu","22.961777,72.094219",22.961777,72.094219,"12.786517,79.975221",12.78651700,79.97522100,25-08-2020 17:59,29-08-2020 07:41,Breach,0,27.313438,79.063225,HALSANVLECCB5,CHEMMNFILCCA1,24-08-2020 08:30,27-08-2020 19:37,1900,FILEXCHE19,Ford india private limited,67878,OTS LIMITED,X0483110
MVCV0001702/082021,27-08-2020,MH14CD1135,"TVSLSL HUB (CHAKAN),PUNE,MAHARASHTRA","TVSLSL HUB (CHAKAN),PUNE,MAHARASHTRA","18.6270,73.7430",18.627,73.743,"18.6270,73.7430",18.62700000,73.74300000,31-08-2020 22:23,27-08-2020 19:46,Fulfill,1,18.69727333,73.83937778,PUNTATTVSHUA1,PUNTATTVSHUA1,27-08-2020 18:23,27-08-2020 18:24,353,TMCGCCHE05,Tvs motor company limited,TANEXTHEY9,TANAJI RAOSAHEB KOLEKAR,F2P00119
VCV00013407/082021,26-08-2020,TN889013,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,30-08-2020 20:12,27-08-2020 19:04,Fulfill,1,12.84410333,79.94415333,CHEORADMRCCB1,CHEMATDMROPA7,26-08-2020 16:11,26-08-2020 16:12,103,DMREXCHEUX,Daimler india commercial vehicles pvt lt,ARVEXNAM09,ARVINTH TRANSPORT,CL OPTG LEVER
VCV00014242/082021,27-08-2020,TN02AS5679,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","11.8720,79.6320",11.872,79.632,"13.1020,80.1940",13.10200000,80.19400000,31-08-2020 19:58,27-08-2020 18:47,Fulfill,1,13.10492733,80.18988183,CHEPONLUTCCA4,CHEPADLUTCCA1,27-08-2020 15:54,27-08-2020 18:40,175,LUTGCCHE06,Lucas tvs ltd,SRTEXKOR96,SR TRANSPORTS,MOULDER HOSE KIT
MVCV0001701/082021,27-08-2020,MH14CD1135,"TVSLSL HUB (CHAKAN),PUNE,MAHARASHTRA","TVSLSL HUB (CHAKAN),PUNE,MAHARASHTRA","18.6270,73.7430",18.627,73.743,"18.6270,73.7430",18.62700000,73.74300000,31-08-2020 21:53,27-08-2020 19:31,Fulfill,1,18.69727333,73.83937778,PUNTATTVSHUA1,PUNTATTVSHUA1,27-08-2020 17:53,27-08-2020 17:54,353,TMCGCCHE05,Tvs motor company limited,TANEXTHEY9,TANAJI RAOSAHEB KOLEKAR,BRACKET / LH RR SUSPENSION
VCV00014085/082021,27-08-2020,TN18AB5514,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","11.8720,79.6320",11.872,79.632,"13.1020,80.1940",13.10200000,80.19400000,31-08-2020 18:46,27-08-2020 18:17,Fulfill,1,13.10528333,80.18977778,CHENETLUTCCA1,CHEPADLUTCCA1,27-08-2020 14:45,27-08-2020 18:10,175,LUTGCCHE06,Lucas tvs ltd,SRTEXKOR96,SR TRANSPORTS,SYNCHRONIZER BODY
AEIBK2027256,24-08-2020,TN30BD6733,"Shive, Pune, Maharashtra","Pondur, Kanchipuram, Tamil Nadu","18.750621,73.87719",18.750621,73.87719,"12.930429,79.931163",12.93042900,79.93116300,29-08-2020 01:31,27-08-2020 18:30,Fulfill,1,12.83579683,79.95018967,PUNTATTVSHUA1,CHEORADMRCCB1,25-08-2020 09:56,27-08-2020 18:10,1290,DMREXCHEUX,Daimler india commercial vehicles pvt lt,68045,VJ Logistics,INNER SYNCHRONIZER RING / 2. GANG
VCV00014110/082021,27-08-2020,TN32AL1851,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","11.8720,79.6320",11.872,79.632,"13.1020,80.1940",13.10200000,80.19400000,31-08-2020 19:01,27-08-2020 21:00,Fulfill,1,11.87055633,79.63444933,CHENETLUTCCA1,CHENETLUTCCA1,27-08-2020 15:00,27-08-2020 17:40,300,LUTGCCHE06,Lucas tvs ltd,SRTEXKOR96,SR TRANSPORTS,SLIDING SLEEVE
MVCV0001593/082021,26-08-2020,KA432901,"PRAVEEN ENGINEERING INDUSTRIES,HOSUR,TAMIL NADU","SRI DEVI POWDER COATING INDUSTRIES,CHENNAI,TAMIL NADU","12.7510,77.8040",12.751,77.804,"13.2150,80.3200",13.21500000,80.32000000,30-08-2020 19:54,27-08-2020 17:35,Fulfill,1,13.206119,80.32067,HOSSIPPVECCA8,CHEVICSDPCCA1,26-08-2020 15:54,26-08-2020 15:56,365,PVEEXHOS12,Praveen engineering products india pvt l,AVTEXMATB9,A.V.TRANSPORTS,CONSTANT VELOCITY UNIT / 3./4.GANG
MVCV0001651/082021,27-08-2020,MH14EM3497,"TVSLSL HUB (CHAKAN),PUNE,MAHARASHTRA","TVSLSL HUB (CHAKAN),PUNE,MAHARASHTRA","22.9900,72.2500",22.99,72.25,"18.7470,73.7880",18.74700000,73.78800000,31-08-2020 14:53,27-08-2020 17:38,Fulfill,1,18.697386,73.84817,PUNTATTVSHUA1,PUNTATTVSHUA1,27-08-2020 10:53,27-08-2020 10:54,1340,DMREXCHEUX,Daimler india commercial vehicles pvt lt,OMSEXFAR23,OMS LOGISTICS PVT LTD,Gear Crank Shaft
AEIBK2027136,24-08-2020,NL01AD6804,"Shive, Pune, Maharashtra","Guruvoyal, Tiruvallur, Tamil Nadu","18.750621,73.87719",18.750621,73.87719,"13.202214,80.131693",13.20221400,80.13169300,28-08-2020 14:51,27-08-2020 17:27,Fulfill,1,13.209026,80.082085,PUNMAHERCCCB2,CHEREDPUBTPB1,24-08-2020 22:57,27-08-2020 17:11,1275,ERCEXPUNTG,Ericsson india private limited,55615,Aakash Logistics,"GASKET,PUSH ROD COVER"
AEIBK2026250,17-08-2020,NL01AB7612,"Jamalpur, Gurgaon, Haryana","Pondur, Kanchipuram, Tamil Nadu","28.373519,76.835337",28.373519,76.835337,"12.930429,79.931163",12.93042900,79.93116300,21-08-2020 20:07,29-08-2020 07:08,Breach,0,28.376665,76.95611,GURJMATVSHUA1,CHEORADMRCCB1,17-08-2020 16:54,19-08-2020 15:40,2400,DMREXCHEUX,Daimler india commercial vehicles pvt lt,64781,SHREE OM TRANSPORT COMPANY,GASKET FILTER HEAD
AEIBK2025782,12-08-2020,NL01L5986,"Anekal, Bangalore, Karnataka","Jamalpur, Gurgaon, Haryana","12.722686,77.676518",12.722686,77.676518,"28.373519,76.835337",28.37351900,76.83533700,16-08-2020 19:46,29-08-2020 08:37,Breach,0,12.18883609,76.64084624,HOSKIAOTICCA3,GURJMATVSHUA1,12-08-2020 15:46,27-08-2020 05:04,2230,OTIEXHOSJM,Otis elevator company (india) ltd,999,Unknown,FX602111
AEIBK2027133,24-08-2020,MH14GU2786,"Shive, Pune, Maharashtra","Guruvoyal, Tiruvallur, Tamil Nadu","18.750621,73.87719",18.750621,73.87719,"13.202214,80.131693",13.20221400,80.13169300,28-08-2020 14:51,27-08-2020 17:49,Fulfill,1,13.089083,79.98932,PUNMAHERCCCB2,CHEREDPUBTPB1,24-08-2020 19:20,27-08-2020 16:58,1275,ERCEXPUNTG,Ericsson india private limited,49894,SUNDAR,FX602111
